index,Textstelle,Metapher,Kandidat,Nein,Metapher?,Fokus,Rahmen,Annotator,orig
0,Eine sammlung von preisscliristenz Herausgegeben von prof. P. S. S. Ziegler in Verbindung mit Drob Dr. Sonraa und Drob Dr. Saeclrel Erster Teil.,0,0,1,Nein,,,X,Eine sammlung von preisscliristenz Herausgegeben von prof. P. S. S. Ziegler in Verbindung mit Drob Dr. Sonraa und Drob Dr. Saeclrel Erster Teil.
1,"Januar  veröffentlichten die Professoren Haeckel Jena, Conrad Halle und Fraas Stuttgart das unten mitgeteilte Preisausschreiben.",0,0,1,Nein,,,X,"Januar 1900 veröffentlichten die Professoren Haeckel (Jena), Conrad (Halle) und Fraas (Stuttgart) das unten mitgeteilte Preisaus- schreiben."
2,"Unter den  Abhandlungen und Schriften, welche am festgesetzten Termin einliefen, haben acht Arbeiten Preise erhalten und wurden noch einige andere zur Publikation erworben.",0,0,1,Nein,,,X,"Unter den 60 Abhandlungen und Schriften, welche am festgesetzten Termin einliefen, haben acht Arbeiten Preise erhalten und wurden noch einige andere zur Publikation erworben."
3,In dem vorliegenden Sammelwerke werden sieben von den Preisarbeiten und drei von den letztgenannten Abhandlungen veröffentlicht.,0,0,1,Nein,,,X,In dem vorliegenden Sammelwerke werden sieben von den Preisarbeiten und drei von den letztgenannten Ab- handlungen veröffentlicht.
4,"Es folgt hier zunächst das Preisausschreiben, welches das Thema mit den zugehörigen Erläuterungen enthält und welchem die Bestimmungen der Preisverteilung beigefügt sind.",0,0,1,Nein,,,X,"Es folgt hier zunächst das Preisausschreiben, welches das Thema mit den zugehörigen Erläuterungen enthält und welchem die Bestimmungen der Preisverteilung beigefügt sind."
5,Sodann folgen einige Mitteilungen über die Gesamtheit der eingegangenen Abhandlungen und über die Preisverteilung.,0,0,1,Nein,,,X,Sodann folgen einige Mitteilungen über die Gesamtheit der eingegangenen Abhandlungen und über die Preis- verteilung.
6,Zur Förderung der Wissenschaft und im Interesse des Vaterlandes ist den Unterzeichneten die Summe von   Mk.,0,0,1,Nein,,,X,Zur Förderung der Wissenschaft und im Interesse des Vaterlandes ist den Unterzeichneten die Summe von 30 000 Mk.
7,"Indem wir das Thema veröffentlichen und die Bestimmungen beifügen, nach welchen die Erteilung der Preise erfolgen wird, richten wir an wissenschaftlich gebildete Männer die Aufforderung, sich der Bearbeitung Der interessanten und zeitgemäßen Aufgabe zu widmen.",0,0,1,Nein,,,X,"Indem wir das Thema ver- öffentlichen und die Bestimmungen beifügen, nach welchen die Erteilung der Preise erfolgen wird, richten wir an wissenschaft- lich gebildete Männer die Aufforderung, sich der Bearbeitung Der interessanten und zeitgemäßen Aufgabe zu widmen."
8,"Sie bedingt die natürliche Veranlagung des Menschen seine angeborenen ererbten Geistesund Charaktereigenschaften, seine egoistischen Triebe, Familientriebe, sozialen Triebe etc.",0,0,1,Nein,,,X,"Sie bedingt die natürliche Veranlagung des Menschen seine angeborenen (ererbten) Geistes- und Charaktereigenschaften, seine egoistischen Triebe, Familientriebe, sozialen Triebe etc."
9,"Die natürliche Veranlagung ist in den Grundzügen bei allen Menschen gleich aber bei genauerer Betrachtung erweist sie sich bei verschiedenen Menschen als ungleich, indem sie von den Familienanlagen abhängt, welche von väterlicher und mütterlicher Seite durch natürliche Vererbung auf den Einzelnen übergegangen sind.",0,0,1,Nein,,,X,"Die natürliche Veranlagung ist in den Grundzügen bei allen Menschen gleich; aber bei genauerer Betrachtung erweist sie sich bei verschiedenen Menschen als ungleich, indem sie von den Familienanlagen abhängt, welche von väterlicher und mütterlicher Seite durch natürliche Vererbung auf den Einzelnen übergegangen sind."
10,Die Beachtung der natürlichen Vererbung und der daraus folgenden Verschiedenheit der Anlagen ist für das Verständnis der sozialen Verhältnisse von großer Wichtigkeit.,0,0,1,Nein,,,X,Die Beachtung der natürlichen Vererbung und der daraus folgenden Verschiedenheit der Anlagen ist für das Ver- ständnis der sozialen Verhältnisse von großer Wichtigkeit.
11,Eine Veränderung der natürlichen Veranlagungen in einem Volke kann nur in sehr langen Zeiträumen stattfinden sie ist möglich entweder durch Selektion oder durch Uebertragung erworbener Eigenschaften letzteres wird von manchen Naturforschern bestritten.,0,0,1,Nein,,,X,Eine Veränderung der natürlichen Veranlagungen in einem Volke kann nur in sehr langen Zeiträumen stattfinden; sie ist möglich entweder durch Selektion oder durch Uebertragung erworbener Eigenschaften (letzteres wird von manchen Naturforschern bestritten).
12,"Zu der natürlichen Anlage kommt bei jedem einzelnen Individuum die Anpassung an die Umgebung hinzu, bedingt durch die Erziehung, das Beispiel der Eltern den Unterricht, eigene Erfahrungen c., insbesondere auch durch überlieferte Anschauungen Sitten und Gesetze, also durch die ganze Tradition Im Volke insbesondere bei einem Kulturvolkes ist die Tradition in fortwährender Veränderung begriffen.",0,0,1,Nein,,,X,"Zu der natürlichen An- lage kommt bei jedem einzelnen Individuum die Anpassung an die Um- gebung hinzu, bedingt durch die Erziehung, das Beispiel der Eltern den Unterricht, eigene Erfahrungen 2c., insbesondere auch durch überlieferte An- schauungen Sitten und Gesetze, also durch die ganze Tradition Im Volke (insbesondere bei einem Kulturvolkes ist die Tradition in fortwährender Veränderung begriffen."
13,"Allmählich ändern sich sowohl die wirtschaftlichen Verhältnisse Zunahme der Bevölkerung, Fortschritte der Technik, Erleichterung des Verkehrs Aenderung der Erwerbsverhältnisse etc.",0,0,1,Nein,,,X,"Allmählich ändern sich sowohl die wirtschaftlichen Verhältnisse (Zunahme der Bevölkerung, Fortschritte der Technik, Erleichterung des Verkehrs Aenderung der Erwerbsverhältnisse etc.)"
14,"als auch theoretische Lehren Fortschritt der Wissenschaft, Einfluß literarisch bedeutender Persönlichkeiten etc.",0,0,1,Nein,,,X,"als auch theoretische Lehren (Fortschritt der Wissenschaft, Einfluß literarisch bedeutender Persönlichkeiten etc."
15,"dazu kommen die Aenderungen politischer Verhältnisse, welche nicht allein von der ganzen Lage des Volkes, sondern auch von dem Wirken einzelner mächtiger Personen abhängen.",0,0,1,Nein,,,X,"); dazu kommen die Aenderungen politischer Verhältnisse, welche nicht allein von der ganzen Lage des Volkes, sondern auch von dem Wirken einzelner mächtiger Personen abhängen."
16,Alle diese Veränderungen ziehen allmählich Aenderungen der Sitten und Anschauungen nach sich und diesen folgend Aenderungen der Institutionen und Gesetz.,0,0,1,Nein,,,X,Alle diese Veränderungen ziehen allmählich Aenderungen der Sitten und Anschauungen nach sich und diesen folgend Aenderungen der Institutionen und Gesetz.
17,"Einleitung  Im Volke als ganzem können sich Aenderungen dernur langsam vollziehen, denn die überlieferten Anschauungen sind der jeweiligen Generation fest eingeprägt dasselbe gilt von dem Rechtsbewußtsein, welches den traditionellen Anschauungen und Sitten entspricht, aber auch mit der Gesetzgebung in einer gewissen Wechselbeziehung steht.",0,0,1,Nein,,,X,"Einleitung 3 Im Volke als ganzem können sich Aenderungen der Anschauungen und Sitten nur langsam vollziehen, denn die überlieferten Anschauungen sind der jeweiligen Generation fest eingeprägt; dasselbe gilt von dem Rechts- bewußtsein, welches den traditionellen Anschauungen und Sitten entspricht, aber auch mit der Gesetzgebung in einer gewissen Wechselbeziehung steht."
18,Die jeweilige Gesetzgebung des Volkes ist das Produkt der Tradition althergebrachter Normen und der Anpassung an die momentanen Daseinsbedingungen und die daraus entstandenen Anschauungen.,0,0,1,Nein,,,X,Die jeweilige Gesetzgebung des Volkes ist das Produkt der Tradition althergebrachter Normen und der Anpassung an die momentanen Daseins- bedingungen und die daraus entstandenen Anschauungen.
19,"Die neuen Gesetze stellen sich soweit sie nicht willkürlich gegeben wurden als Anpassungen dar, welche den veränderten Erwerbsverhältnissen und Anschauungen entsprechen.",0,0,1,Nein,,,X,"Die neuen Gesetze stellen sich (soweit sie nicht willkürlich gegeben wurden) als Anpassungen dar, welche den veränderten Erwerbsverhältnissen und Anschauungen entsprechen."
20,"Da die Grundbedingung einer gesunden und rationellen Weiterentwickelung in der gründlichen Kenntnis und gewissenhaften Befolgung überlieferter Gesetze und Institutionen zu suchen ist, so kann auch von einer ferneren rationellen Entwickelung der Institutionen auf Grund der Anpassung nur dann die Rede sein, wenn der Geist der bestehenden Institutionen sozusagen in Fleisch und Blut des Volkes übergegangen ist.",0,0,1,Nein,,,X,"Da die Grundbedingung einer gesunden und rationellen Weiterentwickelung in der gründlichen Kenntnis und ge- wissenhaften Befolgung überlieferter Gesetze und Institutionen zu suchen ist, so kann auch von einer ferneren rationellen Entwickelung der Insti- tutionen auf Grund der Anpassung nur dann die Rede sein, wenn der Geist der bestehenden Institutionen sozusagen in Fleisch und Blut des Volkes übergegangen ist."
21,"Eine langsame stetige Entwickelung der Gesetze und Institutionen welche mit der Aufnahmefähigkeit des Volkes Schritt hält, trägt demnach am meisten zum gesunden Fortschritt des Volkes bei.",0,0,1,Nein,,,X,"Eine langsame stetige Entwickelung der Gesetze und Institutionen welche mit der Aufnahmefähigkeit des Volkes Schritt hält, trägt demnach am meisten zum gesunden Fortschritt des Volkes bei."
22,"Bei den Ausführungen ist in Bezug auf Abschnitt A eine Darstellung der natürlichen Vererbung erwünscht, in Bezug auf B sind Beispiele aus der Geschichte zu erbringen.",0,0,1,Nein,,,X,"Bei den Ausführungen ist in Bezug auf Abschnitt A eine Darstellung der natürlichen Vererbung erwünscht, in Bezug auf B sind Beispiele aus der Geschichte zu erbringen."
