,text,label
0,"Antwort: Infolge von Diphteritis, Brechdurchfall Lebensschwäche u. s. w. Weitere Frage: Welches ist die Ursache von Diphteritis, Brechdurchfall, Lebensschwäche?",0
1,Solche suppo- vierte Identität gab höchstens Dichtern zuweilen Stoff zu Komödien Selbst der Tradition passen sich daher-zwei-Menschen nie in gleicher Weise an.,0
2,"Somit ist klar, daß es keinen Grund gibt, warum man aus der Liebe der Eltern die Monogamie und nicht vielmehr aus dem wechselnden Begehren die Promisknität als das Ursprüngliche beweisen sollte; denn der Grund, daß ein derartiges Begehren etwa eine Entartung des neuen Menschen wäre, ist einmal durch die Geschichte der Ehebrüche und das Verhalten des Mannes den Prostituierten gegenüber von jeher und zweitens um auch die 1) Darwin, Die Abstammung des Menschen, 20.",0
3,"Auf diese und eine große Reihe ähnlicher Tatsachen ist das von E. Haeckels) formulierte biogenetische Grundgesetz gegründet, welches- lautet: Die Entwicklungsgeschichte des Individuums ist die abge- l-, 2, 3 u.",0
4,"Doch werde ich später zeigen, daß auch in diesem Falle von einem derartigen Naturzustande nicht die Rede sein kann.",0
5,"Die Politik des Distriktes wird gewöhnlich in ihrem Lokale arrangiert, und Politik und Geschäft gehen Hand in Hand.",0
6,"Es fragt sich nun, aus welches von diesen auch Forschungsgebieten uns die im Preisausschreiben gestellte Frage führt.",0
7,"Es ist auffallend, daß der freisinnige Standpunkt nur allein in der eben erwähnten Abhandlung Ausdruck gefunden hat, um so mehr, da er sich mit den Prinzipien der Selektionslehre ungezwungen verbinden läßt.",0
8,"Ob dies alles in dieser Weise richtig ist oder nicht, werden wir später erfahren; hier genügt es nur zu wissen, daß auch nach Spencer die Soziologie von der Biologie zu trennen ist und es bleibt nichts mehr übrig, als daß sie ohne Rücksicht auf die Wissenschaften, mit denen sie sich berührt, einfach nach ihrem Objekte unter die völkerpsychologischen Erschei- nungen aufgenommen werde, neben der Geschichte, der Sprache und der Nationalökonomie 1) Wenn Adolf Wagner.",0
9," Auch auf sie trifft zu, daß ihre Nachkommenschaft dem Staate Lasten auferlegt, die durch Gegenleistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nach- leistungen gar nicht oder nicht genügend ausgeglichen werden, da die Nachkommen entweder schon in jungen Jahren sterben und in den Kosten ihrer kommen entweder schon in jungen Jahren sterben und in den Kosten ihrer Verpflegung und Erziehung ein Stück unfruchtbar angelegtes Nationalvermögen mit in’s Grab nehmen oder, selbst wenn sie in’s reifere Alter gelangen, doch infolge ihrer Kränklichkeit dem Staate meist weder wirtschaftlich noch sonst (durch Militärdienst oder Erzeugung gesunder Nachkommen) von Nutzen sind.",2
