,text,label
0,Der politische Körper verwendet in beiden Fällen seine meiste Kraft auf die Zunahme von Zähnen und Krallen.,1
1,"Immer noch wird durch die protestantische Lehre jener Grundirrtum fortgepflanzt, daß es nur auf den Glauben ankomme, und daß aus dem Glauben die Werke notwendig folgen müssen.",2
2,"Kein Zweifel, schreibt Alb. Schaeffle, vorausschickend, daß Demokratisierung nicht notwendig Republikanisierung sei, die Zukunft gehört der Demokratie, in der alten Welt wie in der neuen, Und Kidd  sagt Die geschichtliche Tatsache unserer Zeit, die alle anderen in den Schatten stellt, ist das Kommen der Demokratie . . . . Die da glauben, durch sie werde statt Ordnung ein Chaos kommen, erfassen die Natur seiner Stärke nicht . . . . und Befürchtungen betreffs der Zukunft der auftretenden Demokratie, die sich auf Vergleiche mit der Vergangenheit gründen, sind un zulässig und wertlos . . . .",2
3,"Mit je weiterem Blick wir die Stoffwelt zu überschauen lernen, je klarer wir das wirkliche Verhältnis bemessen, in welchem der Mensch und sein Handeln zu dem harmonischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis wir die Neigung zu der Frage verspüren, ob ein so vergängliches und bedeutungsloses Ereignis in der allgemeinen Ordnung der Dinge, wie die Schicksale der Menschenrasse es sind, die Sehnsucht und die Gefühle noch befriedigen kann, die groß geworden sind an dem Glauben an das Ewige und Gott.",2
4,"Solange das Menschengeschlecht seinen Zerstörern größere Bewunderung zollen wird als seinen Wohltätern, muß auch der Durst nach Kriegsruhm stets den Fehler der erhabensten Charaktere bilden,",2
5,"Wenn  weiße oder  schwarze Tauben gut begründeter Rassen gepaart werden, so erben die Nachkommen beinahe sicher dieselben Farben werden aber verschieden gefärbte Taubenrassen gekreuzt, so wirken offenbar die einander entgegengesetzten Kräfte der Vererbung gegeneinander und die beiden Eltern inhärente Neigung, schieferblaue, d. h. zur Stammform zurückschlagende Nachkommen zu erzeugen, gewinnt die Oberhand .",2
6,"Wir behaupten nicht, daß die Bildung der einzige Faktor sei, der die Geburtenziffer verkleinert sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequemlichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit dem heißen Wunsch, in materieller Beziehung auf einen höheren und besseren Fuß zu kommen, solche intellektuelle und moralische Eigenschaften anhäuft, die für eine hohe Ge burtenziffer wenig günstig sind . . . .",2
7,"Aber auch von diesem Extrem abgesehen, werden in der neueren Zeit dem Staate wieder ungleich höhere Aufgaben vindiziert. Die Freihandelsrichtung hatte ihre hohe Bedeutung, ja sie war ihrer ersten Zeit unerläßlich, um mit dem Wust mittelalterlicher Schranken, der Knechtung der unteren Klassen und den polizeilichen Beschränkungen der individuellen Freiheit aufzuräumen.",2
8,Aber das Licht der Selektionstheorie reicht noch weiter.,2
9,Aber das bedeutendste Ereignis war doch die Geburt und der Sieges lauf der Darwinschen Descendenztheorie.,2
10,"Aber die Gestalten und Bilder, welche einmal in seine Seele gefallen sind, arbeiten doch unablässig, ihn zu leiten, oft hat er sich gegen ihre Herrschaft zu wehren, in tausend Fällen folgt er fröhlich ihrem leisen Zuge.",2
11,"Aber die Jahrhunderte sind wie ein großes Sieb, das die Spreu von dem Weizen sondert.",2
12,"Aber die Sache liegt anders denn die Kosten der weitherzigen Berücksichtigung der Interessen des gegenwärtig lebenden Individuums haben die folgenden Generationen zu bezahlen, die in diese Versicherung auf Gegenseitigkeit nicht mit eingeschlossen sind.",2
13,"Aber dürfen wir vergessen, wie es noch, nicht vor einigen, sondern vor kaum einem Jahrhundert in Europa aussah, welche Höhlen des Elends nicht nur die Gefängnisse für Verbrecher, sondern auch die Schuldgefängnisse und die Hospitäler waren, daß die Tortur in ihren schlimmsten Formen gesetzliche in China nur faktische und strafbare Anwendung fand, und daß die von europäischen Richtern ver hängten Todesstrafen an Entsetzlichkeit alles hinter sich ließen, was die Chinesen je erfunden?",2
14,"Aber nicht nur hinsichtlich des Weges gehen die Anschauungen auseinander, sondern noch mehr hinsichtlich der letzten Ideale, so sehr, daß es zur Taktik unserer Sozialdemokratie geworden ist, dieses ungeklärte Terrain soviel wie irgend möglich zu meiden. Das aber dürfte bei den Einsichtigeren unter ihnen feststehen, daß Gleichheit des Einkommens, des Ansehens und der Macht undiskutierbare Verzerrungen des Gleichheitsideales sind, welches nur die Beseitigung antisozialer Begünstigungen verlangt, d. h. solcher, die weder in angeborenen Anlagen, noch in persönlich erworbenen Vorteilen erworben in einem, jedem unter denselben äußeren Vorbedingungen offenstehenden Wettbewerb bestehen.",2
15,"Aber noch ist die Zeit nicht gekommen, zu verlangen, daß nunmehr die nationalstaatlichen Schranken überhaupt eingerissen werden müßten. Die Nationen sind noch Realitäten, und die Verschiedenheit ihrer Bedürfnisse und ihres Rechtsgefühls, sowie die Abneigung und Fremdheit der Angehörigen verschiedener Nationen ist auch eine Realität.",2
16,"Aber unsere Kurzsichtigkeit gestattet uns nur, die Richtung zu erkennen, welche die Entwicklungsgeschichte während der für uns einigermaßen übersehbaren Periode genommen hat, und infolge dieser Orientierung vermögen wir unter der eigentlich nicht ganz selbstverständlichen Voraussetzung, daß diese Richtung andauern werde höchstens die nächsten Ziele zu sehen, soweit sie nämlich noch innerhalb unserer geistigen Sehweite und innerhalb des durch unseren organischen Standpunkt bestimmten Horizontes liegen.",2
17,Aber zu Heraklits Zeit wurde der Same zu dieser Er kenntnis vergeblich ausgestreut.,1
18,"Aber zwischen dem Punkte, wo uns das Mikroskop bei der Verfolgung des Befruchtungsvorganges im Stiche läßt und es läßt uns, da es uns nur über den äußeren Vorgang der Kopulation zweier Keimzellen Ausschluß zu geben vermag, sehr bald im Stich und dem Punkte, wo die Eigenschaften der Eltern am neuen Individuum hervortreten und uns die Wirkung der Vererbung zeigen, klafft eine weite Lücke, die im Laufe der letzten Jahrzehnte mit Vermutungen über Vermutungen, Theorieen über Theorieen auszufüllen versucht worden ist.",2
19,"Alle anderen Anforderungen an den Staat treten gegen diese eine zurück bevor sie nicht erfüllt ist, sind alle anderen verfrüht, denn um sie zu erfüllen, muß er selber erst da sein, und da ist er erst, wenn er die Machtfrage im obigen Sinne gelöst hat. Machtlosigkeit, Ohnmacht der Staatsgewalt ist die Todsünde des Staates, von der es für ihn keine Absolution gibt, diejenige, welche die Gesellschaft weder verzeiht noch erträgt, es ist ein Widenspruch in sich selbst eine Staatsgewalt ohne Gewalt!",2
20,"Alle anderen bedürfen in solchem Falle einer äußeren Instanz, die sich dem unheildrohenden Gang der Dinge hemmend in den Weg stellt.",2
21,"Alle diese Erscheinungen, in denen pseudoverwandtschaftliche Verhältnisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden, sind ein klassisches Beispiel dafür, wie eine Sitte oft über ihr ursprüngliches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die mit ihrem ursprünglichen Geltungsgebiete nur durch grobe Analogieen in Zusammenhang zu bringen sind.",2
22,"Alle diese Tatsachen beweisen, daß nicht innere Bildungsgesetze, sondern äußere Lebensbedingungen den Pinsel geführt haben.",2
23,"Alles Lernen besteht in Anpassungsvorgängen, welche dadurch eingeleitet werden, daß neue Empfindungen, Wahrnehmungen, Vorstellungen oder Begriffe an unsere logischen, ethischen u. a. Bestände herantreten.",2
24,"Alles stand bei ihnen auf einer Fläche, alles war in ein Gewebe gewoben, das Gute und Heilige nur ein Einschlag in einen breiten irdischen Zettel.",1
25,"Als Schüler der Hegelschen Philosophie hatten sie vor der Wirklichkeit, vor dem historisch Gewordenen, einen viel höheren Respekt als ihre vom Rationalismus der Aufklärungsperiode durchtränkten sozialistischen Vorgänger.",2
26,"Als vierten Trieb möchten wir das Kausalitätsbedürfnis nennen, das den Menschen antreibt die Ursachen der Erscheinungen zu erforschen und ihn befähigt hat, in die Werkstatt der Natur einzudringen.",1
